FONDSID;FONDSNAME;ISIN;LEI;FONDSVERMOEGEN_EUR;DATUM;PA_CARBON_EMISSIONS_SCOPE_1;PA_CARBON_EMISSIONS_SCOPE_2;PA_CARBON_EMISSIONS_SCOPE_3;PA_CARBON_EMISSIONS_SCOPE_123;PA_PCAF_SCORE_SCOPE_1;PA_PCAF_SCORE_SCOPE_2;PA_PCAF_SCORE_SCOPE_3;PA_PCAF_SCORE_SCOPE_123
1;DekaLux-Bond;LU0011194601;529900RUQAU2YNRO2356;152342429,17;30.06.2025;1293,13974812133;467,089969773674;23070,6978462551;24830,9275641501;2,12669474236274;2,11059599183503;4,0;3,91168436641827
10;DekaLux-Japan;LU0048313653;529900WI2BWOFVMT1P83;68895804,08;30.06.2025;1327,98696682728;778,120437985281;39778,4966480604;41884,604052873;2,33808843007935;2,4017746541745;4,0;3,89757827435193
20;Deka-ESG BasisStrategie Renten;LU0107368036;5299009G98B04SLKS542;1246591988,55;30.06.2025;33183,3539418275;7767,5948626045;271384,976673315;311539,426760044;2,13642446258001;2,19363065844586;4,0;3,85276037593214
20;Deka-ESG BasisStrategie Renten;LU1084635462;5299009G98B04SLKS542;1246591988,55;30.06.2025;33183,3539418275;7767,5948626045;271384,976673315;311539,426760044;2,13642446258001;2,19363065844586;4,0;3,85276037593214
38;DekaLuxTeam-Aktien Asien;LU0052859252;529900TER0RR8VMYAS60;307673867,75;30.06.2025;5907,30360328142;3888,88126473542;67324,3798593312;77120,5647273481;2,08015936372622;2,08015936372622;4,0;3,69907272940113
45;DekaLux-Geldmarkt: Euro;LU0052863874;5299008L1O6VRS4JUQ68;5449426823,0;30.06.2025;105949,661391755;15231,1395262406;1595435,3900538;1716616,1909718;2,29093456406505;2,29684305441008;4,0;3,91482453966462
49;Deka-Renten: Euro 1-3 CF;LU0044138906;529900D50PFJLJQU4C37;713441061,57;30.06.2025;13833,5374740306;3124,83513527831;142486,138119307;158701,281063229;2,20979192694873;2,24767151331647;4,0;3,9018168129339
57;DekaLux-Mix: E1;LU0091403526;529900D4GRO4HT1ZY894;33507415,01;30.06.2025;698,748089468335;157,349726764525;7211,40110606595;8148,39520416212;;;;
63;DekaLux-Geldmarkt: USD;LU0065060971;5299004PC2MUI1AKTG33;98131683,7554362;30.06.2025;6483,98241524177;722,098425460699;28658,8574054657;35864,9382461682;2,35850874630507;2,41233476967284;4,0;3,88542701450643
74;Deka-Europa Nebenwerte;LU1496713741;529900M3JZ519T12BB59;115164923,64;30.06.2025;2223,87383353153;505,56838846848;22917,7321773537;25647,1743993537;2,23058460085773;2,26536775775862;4,0;3,89567738766118
