customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
Date,CurveDate,,date,dbo,Curve,Date,,,,,Curve,
Batch,DelayTypeCode,,nvarchar(10),dbo,DelayType,Code,LastPrice,DelayTypeId,,int,Listing,
ISIN,Isin,,nvarchar(12),dbo,Instrument,Isin,,,,,,
CUSIP,Cusip,,nvarchar(9),dbo,Instrument,Cusip,,,,,,
Ticker,CompanySymbol,,nvarchar(50),dbo,Company,Symbol,,,,,InstrumentCompanyRole,
Short name of Issuer,CompanyName,,nvarchar(255),dbo,Company,Name,CompanyRole,Name,Issuer,nvarchar(50),InstrumentCompanyRole,
Currency,CurrencyCode,,nvarchar(3),dbo,Currency,Code,Listing,CurrencyId,,int,,
Classification,InstrumentTypeName,,nvarchar(50),dbo,InstrumentType,Name,Instrument,InstrumentTypeId,,int,,
Region,RegionName,,nvarchar(50),dbo,Region,Name,,,,,Country,
Tier,SeniorityCode,,nvarchar(6),dbo,Seniority,Code,Instrument,SeniorityId,,int,,
Maturity,MaturityDate,,date,dbo,Instrument,MaturityDate,,,,,,
Assumed Maturity,AssumedMaturityDate,,date,dbo,Instrument,AssumedMaturityDate,,,,,,
Coupon,CouponRate,,decimal(38.15),dbo,Instrument,CouponRate,,,,,,
Frequency,FrequencyCode,,nvarchar(10),dbo,CouponFrequency,Code,Instrument,CouponFrequencyId,,int,,
Coupon Type,InterestTypeName,,nvarchar(50),dbo,InterestType,Name,Instrument,InterestType,,int,,
Defaulted,IsInDefault,,boolean,dbo,Instrument,IsInDefault,,,,,,
Perpetual,IsPerpetual,,boolean,dbo,Instrument,IsPerpetual,,,,,,
isinFuel1,IsinFuel1,,nvarchar(50),dbo,CustomAttribute,Name,CustomAttributeType,Name,isinFuel1,nvarchar(50),Instrument,
isinFuel2,IsinFuel2,,nvarchar(50),dbo,CustomAttribute,Name,CustomAttributeType,Name,isinFuel2,nvarchar(50),Instrument,
isinFuel3,IsinFuel3,,nvarchar(50),dbo,CustomAttribute,Name,CustomAttributeType,Name,isinFuel3,nvarchar(50),Instrument,
isinFuel4,IsinFuel4,,nvarchar(50),dbo,CustomAttribute,Name,CustomAttributeType,Name,isinFuel4,nvarchar(50),Instrument,
isinFuel5,IsinFuel5,,nvarchar(50),dbo,CustomAttribute,Name,CustomAttributeType,Name,isinFuel5,nvarchar(50),Instrument,
Bid Price,Bid,,decimal(21.6),dbo,LastPrice,Bid,,,,,Listing,
Mid Price,Mid,,decimal(21.6),dbo,LastPrice,Mid,,,,,Listing,
Ask Price,Ask,,decimal(21.6),dbo,LastPrice,Ask,,,,,Listing,
Bid Ask Price Spread,BidAskSpread,,decimal(21.6),dbo,LastPrice,BidAskSpread,,,,,Listing,
Accrued Interest,AccruedInterest,,decimal(38.15),dbo,Instrument,AccruedInterest,,,,,,
Dirty Bid Price,BidDirty,,decimal(38.15),dbo,LastPriceBid,BidDirty,LastPrice,LastPriceBidId,,int,Listing,
Dirty Mid Price,MidDirty,,decimal(38.15),dbo,LastPriceMid,MidDirty,LastPrice,LastPriceMidId,,int,Listing,
Dirty Ask Price,AskDirty,,decimal(38.15),dbo,LastPriceAsk,AskDirty,LastPrice,LastPriceAskId,,int,Listing,
Bid YTM,BidYieldYtm,,decimal(21.6),dbo,LastPriceBid,BidYieldYtm,LastPrice,LastPriceBidId,,int,Listing,
Mid YTM,MidYieldYtm,,decimal(21.6),dbo,LastPriceMid,MidYieldYtm,LastPrice,LastPriceMidId,,int,Listing,
Ask YTM,AskYieldYtm,,decimal(21.6),dbo,LastPriceAsk,AskYieldYtm,LastPrice,LastPriceAskId,,int,Listing,
Bid Ask Yield Spread,BidAskYieldSpread,,decimal(38.15),dbo,LastPrice,BidAskYieldSpread,,,,,Listing,
Bid YTW,BidYieldYtw,,decimal(38.15),dbo,LastPriceBid,BidYieldYtw,LastPrice,LastPriceBidId,,int,Listing,
Mid YTW,MidYieldYtw,,decimal(38.15),dbo,LastPriceMid,MidYieldYtw,LastPrice,LastPriceMidId,,int,Listing,
Ask YTW,AskYieldYtw,,decimal(38.15),dbo,LastPriceAsk,AskYieldYtw,LastPrice,LastPriceAskId,,int,Listing,
YTW Date,YieldToWorstDate,,date,dbo,Instrument,YieldToWorstDate,,,,,,
Bid STW,BidSpreadToWorst,,decimal(38.15),dbo,LastPriceBid,BidSpreadToWorst,LastPrice,LastPriceBidId,,int,Listing,
Bid Discount Margin,LiborBid,,decimal(21.6),dbo,LastPriceBid,LiborBid,LastPrice,LastPriceBidId,,int,,
Mid Discount Margin,LiborMid,,decimal(21.6),dbo,LastPriceMid,LiborMid,LastPrice,LastPriceMidId,,int,,
Ask Discount Margin,LiborAsk,,decimal(21.6),dbo,LastPriceAsk,LiborAsk,LastPrice,LastPriceAskId,,int,,
Benchmark ISIN,BenchmarkIsin,,nvarchar(12),dbo,Instrument,Isin,,,,,,
Benchmark CUSIP,BenchmarkCusip,,nvarchar(9),dbo,Instrument,Cusip,,,,,,
Benchmark Name,BenchmarkName,,nvarchar(50),dbo,Listing,Name,,,,,Benchmark,
Benchmark Bid YTM,BidYieldYtm,,decimal(21.6),dbo,LastPriceBid,BidYieldYtm,LastPrice,LastPriceBidId,,int,BenchmarkListing,
Benchmark Mid YTM,MidYieldYtm,,decimal(21.6),dbo,LastPriceMid,MidYieldYtm,LastPrice,LastPriceMidId,,int,BenchmarkListing,
Benchmark Ask YTM,AskYieldYtm,,decimal(21.6),dbo,LastPriceAsk,AskYieldYtm,LastPrice,LastPriceAskId,,int,BenchmarkListing,
Spread vs Benchmark Bid,BenchmarkSpreadBid,,decimal(21.6),dbo,LastPriceBid,BenchmarkSpreadBid,LastPrice,LastPriceBidId,,int,Listing,
Spread vs Benchmark Mid,BenchmarkSpreadMid,,decimal(21.6),dbo,LastPriceMid,BenchmarkSpreadMid,LastPrice,LastPriceMidId,,int,Listing,
Spread vs Benchmark Ask,BenchmarkSpreadAsk,,decimal(21.6),dbo,LastPriceAsk,BenchmarkSpreadAsk,LastPrice,LastPriceAskId,,int,Listing,
Bid ASW Spread,AssetSwapSpreadBid,,decimal(21.6),dbo,LastPriceBid,AssetSwapSpreadBid,LastPrice,LastPriceBidId,,int,Listing,
Mid ASW Spread,AssetSwapSpreadMid,,decimal(21.6),dbo,LastPriceMid,AssetSwapSpreadMid,LastPrice,LastPriceMidId,,int,Listing,
Ask ASW Spread,AssetSwapSpreadAsk,,decimal(21.6),dbo,LastPriceAsk,AssetSwapSpreadAsk,LastPrice,LastPriceAskId,,int,Listing,
Bid Z Spread,ZSpreadBid,,decimal(21.6),dbo,LastPriceBid,ZSpreadBid,LastPrice,LastPriceBidId,,int,Listing,
Mid Z Spread,ZSpreadMid,,decimal(21.6),dbo,LastPriceMid,ZSpreadMid,LastPrice,LastPriceMidId,,int,Listing,
Ask Z Spread,ZSpreadAsk,,decimal(21.6),dbo,LastPriceAsk,ZSpreadAsk,LastPrice,LastPriceAskId,,int,Listing,
gSpread Bid,GSpreadBid,,decimal(21.6),dbo,LastPriceBid,GSpreadBid,LastPrice,LastPriceBidId,,int,Listing,
gSpread Mid,GSpreadMid,,decimal(21.6),dbo,LastPriceMid,GSpreadMid,LastPrice,LastPriceMidId,,int,Listing,
gSpread Ask,GSpreadAsk,,decimal(21.6),dbo,LastPriceAsk,GSpreadAsk,LastPrice,LastPriceAskId,,int,Listing,
iSpread Mid,ISpreadMid,,decimal(21.6),dbo,LastPriceMid,ISpreadMid,LastPrice,LastPriceMidId,,int,Listing,
PV01,PriceValueBasisPoint,,decimal(21.6),dbo,LastPrice,PriceValueBasisPoint,,,,,Listing,
Bid Macaulay Duration,MacaulayDurationBid,,decimal(21.6),dbo,LastPriceBid,MacaulayDurationBid,LastPrice,LastPriceBidId,,int,Listing,
Mid Macaulay Duration,MacaulayDurationMid,,decimal(21.6),dbo,LastPriceMid,MacaulayDurationMid,LastPrice,LastPriceMidId,,int,Listing,
Ask Macaulay Duration,MacaulayDurationAsk,,decimal(21.6),dbo,LastPriceAsk,MacaulayDurationAsk,LastPrice,LastPriceAskId,,int,Listing,
Bid Modified Duration,ModifiedDurationBid,,decimal(21.6),dbo,LastPriceBid,ModifiedDurationBid,LastPrice,LastPriceBidId,,int,Listing,
Mid Modified Duration,ModifiedDurationMid,,decimal(21.6),dbo,LastPriceMid,ModifiedDurationMid,LastPrice,LastPriceMidId,,int,Listing,
Ask Modified Duration,ModifiedDurationAsk,,decimal(21.6),dbo,LastPriceAsk,ModifiedDurationAsk,LastPrice,LastPriceAskId,,int,Listing,
