customer_field;biqh_import_field;description;biqh_column_data_type;biqh_table_schema;biqh_parent_table_name;biqh_parent_column_name;biqh_relation_table_name;biqh_relation_column_name;biqh_relation_column_value;biqh_relation_column_data_type;biqh_link_table_name;remarks
Date;Date;;date;dbo;Curve;Date;;;;;Listing;
Ticker;BloombergTicker;;nvarchar(50);dbo;Listing;BloombergTicker;;;;;Instrument;
Name;InstrumentName;;nvarchar(255);dbo;Instrument;Name;;;;;;
ISIN;Isin;;nvarchar(12);dbo;Instrument;Isin;;;;;;
RedCode;RedCode;;nvarchar(50);dbo;Instrument;SecurityId;;;;;;
Tier;SeniorityCode;;nvarchar(6);dbo;Seniority;Code;Instrument;SeniorityId;;int;;
Currency;CurrencyCode;;nvarchar(3);dbo;Currency;Code;Curve;CurrencyId;;int;Listing;
DocClause;DocumentationClause;;nvarchar(4);dbo;Curve;DocumentationClause;;;;;Listing;
RunningCoupon;RunningCoupon;;decimal(38.15);dbo;Curve;RunningCoupon;;;;;Listing;
PrimaryCoupon;IsPrimaryCoupon;;boolean;dbo;Curve;IsPrimaryCoupon;;;;;Listing;
Region;RegionName;;nvarchar(50);dbo;Region;Name;;;;;Country;
Country;CountryName;;nvarchar(50);dbo;Country;Name;Instrument;DomicileCountryId;;int;;
MarkitSector;SectorName;;nvarchar(50);dbo;Classification;Name;ClassificationType;Name;Sector;nvarchar(6);InstrumentClassification;
IdxMember;Constituent;;nvarchar(20);dbo;Instrument;ConstituentNote;;;;;;
AvRating;RatingValue;;nvarchar(10);dbo;Rating;Value;RatingType;Name;AverageRating;nvarchar(50);InstrumentRating;
ImpliedRating;ImpliedRating;;nvarchar(10);dbo;Rating;Value;RatingType;Name;ImpliedRating;nvarchar(50);InstrumentRating;
PrimaryPriceType;PrimaryPriceType;;nvarchar(20);dbo;Curve;PrimaryPriceType;;;;;Listing;
Range;LiquidityRange;;nvarchar(50);dbo;Curve;LiquidityRange;;;;;Listing;
EODUpf6MMid;UpfrontValueMid6m;;decimal(38.15);dbo;Curve;UpfrontValueMid;Tenor;Code;6M;nvarchar(50);Listing;
Upfront6MBASpread;UpfrontBidAskSpread6m;;decimal(38.15);dbo;Curve;UpfrontBidAskSpread;Tenor;Code;6M;nvarchar(50);Listing;
Upf6mBA1WMA;UpfrontBidAskSpread6m1w;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf6mBA1MMA;UpfrontBidAskSpread6m1m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Upf6mBA2MMA;UpfrontBidAskSpread6m2m;;decimal(38.15);dbo;QualityMonitor;UpfrontBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
EODConv6MMid;ConventionalSpreadMid6m;;decimal(38.15);dbo;Curve;ConventionalSpreadMid;Tenor;Code;6M;nvarchar(50);Listing;
Conv6MBASpread;ConventionalBidAskSpread6m;;decimal(38.15);dbo;Curve;ConventionalBidAskSpread;Tenor;Code;6M;nvarchar(50);Listing;
Conv6mBA1WMA;ConventionalBidAskSpread6m1w;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv6mBA1MMA;ConventionalBidAskSpread6m1m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
Conv6mBA2MMA;ConventionalBidAskSpread6m2m;;decimal(38.15);dbo;QualityMonitor;ConventionalBidAskSpread;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
6mUniquePP;UniquePricePoint6m;;int;dbo;Curve;UniquePricePoint;Tenor;Code;6M;nvarchar(50);Listing;
6mUniquePP1WMA;UniquePricePoint6m1w;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
6mUniquePP1MMA;UniquePricePoint6m1m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
6mUniquePP2MMA;UniquePricePoint6m2m;;int;dbo;QualityMonitor;UniquePricePoint;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
6mDealersCount;DealerQuoteSizeTenor6m;;int;dbo;Curve;DealerQuoteSizeTenor;Tenor;Code;6M;nvarchar(50);Listing;
DC6m1WMA;DealerQuoteSizeTenor6m1w;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC6m1MMA;DealerQuoteSizeTenor6m1m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
DC6m2MMA;DealerQuoteSizeTenor6m2m;;int;dbo;QualityMonitor;DealerQuoteSizeTenor;QualityMonitorType;Code;MA;nvarchar(50);CurveQualityMonitor;
6mQuotesCount;QuoteSizeTenor6m;;int;dbo;Curve;QuoteSizeTenor;Tenor;Code;6M;nvarchar(50);Listing;
