ISIN,RIC,Currency Code,Trade Date,Close Price,MIC
XS2183935274,8PSE.DE,EUR,9/9/2025,83.93,XETR
IE00B579F325,8PSG.DE,EUR,9/9/2025,298.8,XMIL
AT0000A0DXC2,AT0000A0DXC2=RRPS,EUR,9/9/2025,101.4,XETR
AT0000A10683,AT0000A10683=RRPS,EUR,9/9/2025,96.28,XETR
AT0000A1K9F1,AT0000A1K9F1=RRPS,EUR,9/9/2025,69.055,XLON
AT0000A2GKJ3,AT0000A2GKJ3=RRPS,EUR,9/9/2025,89.009,XETR
AT0000A2HLC4,AT0000A2HLC4=RRPS,EUR,9/9/2025,29.65,XETR
AT0000A2KQ43,AT0000A2KQ43=RRPS,EUR,9/9/2025,60,XETR
AT0000A2WSC8,AT0000A2WSC8=RRPS,EUR,9/9/2025,89.71,XAMS
AT0000A2XLA5,AT0000A2XLA5=RRPS,EUR,9/9/2025,98.287,XETR
AT0000A2Y8G4,AT0000A2Y8G4=RRPS,EUR,9/9/2025,72.07,XETR
AT0000A305R9,AT0000A305R9=RRPS,EUR,9/9/2025,99.061,XAMS
AT0000A308C5,AT0000A308C5=RRPS,EUR,9/9/2025,99.96,XETR
AT0000A322G7,AT0000A322G7=RRPS,EUR,9/9/2025,100.205,XNYS
At0000A324S8,AT0000A324S8=RRPS,EUR,9/9/2025,100.94,XETR
AT0000A32562,AT0000A32562=RRPS,EUR,9/9/2025,104.375,XLON
AT0000A33SH3,AT0000A33SH3=RRPS,EUR,9/9/2025,102.32,XLON
AT0000A33SK7,AT0000A33SK7=RRPS,EUR,9/9/2025,89.63,XMIL
AT0000A34CN3,AT0000A34CN3=RRPS,EUR,9/9/2025,103.125,XLON
AT0000A34GU9,AT0000A34GU9=RRPS,EUR,9/9/2025,101.784,XLON
AT0000A35Y69,AT0000A35Y69=RRPS,EUR,9/9/2025,101.203,XLON
AT0000A36WE5,AT0000A36WE5=RRPS,EUR,9/9/2025,100.675,XETR
AT0000A3DGG2,AT0000A3DGG2=RRPS,EUR,9/9/2025,100.5,XETR
AT0000A3KDX9,AT0000A3KDX9=RRPS,EUR,9/9/2025,102.25,XETR
AT0000A3NRE3,AT0000A3NRE3=RRPS,EUR,9/9/2025,99.75,XETR
AT000B049739,AT000B049739=RRPS,EUR,9/9/2025,99.487,XMIL
AT000B049911,AT000B049911=RRPS,EUR,9/9/2025,97.68,XETR
AT000B049937,AT000B049937=RRPS,EUR,9/9/2025,100.788,XETR
AT000B049952,AT000B049952=RRPS,EUR,9/9/2025,101.351,XETR
AT000B067251,AT000B067251=RRPS,EUR,9/9/2025,101.253,XLON
AT000B093901,AT000B093901=RRPS,EUR,9/9/2025,101.07,XMIL
AT000B122155,AT000B122155=RRPS,EUR,9/9/2025,103.07,XMIL
AT000B122197,AT000B122197=RRPS,EUR,9/9/2025,102.761,XETR
AT000B122403,AT000B122403=RRPS,#EU,9/9/2025,100.125,XETR
AU0000171134,AUCG1132I=RRPS,AUD,9/9/2025,107.061,XETR
AU0000XCLWV6,AUCG0930I=RRPS,AUD,9/9/2025,155.395,XAMS
AU000XCLWAI8,AUG04250426=RRPS,AUD,9/9/2025,100.445,XNYS
AU3CB0241974,AUNDL0727=RRPS,AUD,9/9/2025,99.502,XMIL
AU3CB0245504,AUMET0727=RRPS,AUD,9/9/2025,99.778,XNYS
AU3CB0278380,AUAZJ0328=RRPS,AUD,9/9/2025,96.576,XNYS
AU3CB0281285,AUIDB0626=RRPS,AUD,9/9/2025,97.706,XNYS
AU3CB0285005,AUCPU1127=RRPS,AUD,9/9/2025,96.789,XNYS
AU3SG0003197,AUW04751035=RRPS,AUD,9/9/2025,99.432,XNYS
AU3TB0000135,AUG04750427=RRPS,AUD,9/9/2025,102.135,XNYS
AU3TB0000200,AUG04250634=RRPS,AUD,9/9/2025,100.73,XMIL
BE0000291972,BE291=RRPS,EUR,9/9/2025,108.307,XNYS
BE0000365743,BE365=RRPS,EUR,9/9/2025,100.18,XMIL
BE0002260298,BE0002260298=RRPS,EUR,9/9/2025,97.936,XNYS
BE0002669506,BE0002669506=RRPS,EUR,9/9/2025,90.167,XAMS
BE0002718998,BE0002718998=RRPS,EUR,9/9/2025,96.191,XAMS
