customer_field,biqh_import_field,description,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
CustomerNumber,CompanyIdentifier,,nvarchar(50),dbo,Company,OwnProviderId,,,,,,
SegmentType,SegmentType,,nvarchar(max),dbo,Classification,Name,ClassificationType,Code,Segment,nvarchar(50),CompanyClassification,
ScoringNumber,CompanySymbol,,nvarchar(15),dbo,Company,Symbol,,,,,,
CustomerEsgScoreGrade,TotalGrade,,nvarchar(1),dbo,Esg,TotalGrade,,,,,CompanyEsg,
CustomerEScoreGrade,EnvironmentalGrade,,nvarchar(1),dbo,Esg,EnvironmentalGrade,,,,,CompanyEsg,
CustomerEPhysicalScoreGrade,ClimateChangeExposureGrade,,nvarchar(1),dbo,EnvironmentalSustainability,ClimateChangeExposureGrade,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerETransitoryScoreGrade,LowCarbonTransitionExposureGrade,,nvarchar(1),dbo,EnvironmentalSustainability,LowCarbonTransitionExposureGrade,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerSScoreGrade,SocialGrade,,nvarchar(1),dbo,Esg,SocialGrade,,,,,CompanyEsg,
CustomerGScoreGrade,GovernanceGrade,,nvarchar(1),dbo,Esg,GovernanceGrade,,,,,CompanyEsg,
ApprovedDate,ApprovedDate,,datetime,dbo,Esg,EndDateTime,,,,,CompanyEsg,
InheritanceReason,InheritanceReason,,int,dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it
OtherReason,OtherReason,,nvarchar(200),dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it
ParentScoringNumber,ParentScoringNumber,,nvarchar(15),dbo,Company,Symbol,Company,ParentCompanyId,,int,,record for Parent Company
ScoringArea,ScoringArea,,nvarchar(100),dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it
DataDate,DataDate,,datetime,dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it
EmissionScope1_GHG,GhgEmissionsScope1,,decimal(28.10),dbo,EnvironmentalSustainability,GhgEmissionsScope1,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
EmissionScope2_GHG,GhgEmissionsScope2,,decimal(28.10),dbo,EnvironmentalSustainability,GhgEmissionsScope2,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
EmissionScope2_Method,GhgEmissionsScope2Source,,nvarchar(max),dbo,EnvironmentalSustainability,GhgEmissionsScope2Source,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
EmissionScope3_GHG,GhgEmissionsScope3,,decimal(28.10),dbo,EnvironmentalSustainability,GhgEmissionsScope3,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
IndicationsTransitoryRisk,IndicationsTransitoryRisk,,nvarchar(4000),dbo,ObjectRisk,Transition,ObjectRiskCategory,Code,General,nvarchar(50),Object,new
IndicationsTransitoryRiskReason,IndicationsTransitoryRiskReason,,nvarchar(max),dbo,ObjectRisk,TransitionNote,ObjectRiskCategory,Code,General,nvarchar(50),Object,new
CorpETransitoryQualitative_LegalRisk,LegalRisk,,nvarchar(max),dbo,SustainabilityReport,LegalRisk,Statement,SustainabilityReportId,,int,,
CorpETransitoryQualitative_LegalRiskReason,LegalRiskNote,,nvarchar(max),dbo,SustainabilityReport,LegalRiskNote,Statement,SustainabilityReportId,,int,,
TornadoRiskAfterRelevanceRounded,Tornado,,int,dbo,ObjectRisk,Tornado,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
ExtratropicalCycloneRiskAfterRelevanceRounded,ExtratropicalStorm,,int,dbo,ObjectRisk,ExtratropicalStorm,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
HailRiskAfterRelevanceRounded,Hail,,int,dbo,ObjectRisk,Hail,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
LightningRiskAfterRelevanceRounded,Lightning,,int,dbo,ObjectRisk,Lightning,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
ForestFireRiskAfterRelevanceRounded,Wildfire,,int,dbo,ObjectRisk,Wildfire,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
FlashFloodRiskAfterRelevanceRounded,FlashFlood,,int,dbo,ObjectRisk,FlashFlood,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
CoastalFloodRiskAfterRelevanceRounded,CoastalFlood,,int,dbo,ObjectRisk,CoastalFlood,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
TropicalCyclonePrognosisYear,TropicalCycloneYear,,int,dbo,ObjectRisk,TropicalCycloneYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
TropicalCycloneRiskAfterRelevanceRounded,TropicalCyclone,,int,dbo,ObjectRisk,TropicalCyclone,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
