customer_field,biqh_import_field,biqh_column_data_type,biqh_table_schema,biqh_parent_table_name,biqh_parent_column_name,biqh_relation_table_name,biqh_relation_column_name,biqh_relation_column_value,biqh_relation_column_data_type,biqh_link_table_name,remarks
CustomerNumber,CompanyIdentifier,nvarchar(50),dbo,Company,OwnProviderId,,,,,,
SegmentType,SegmentType,nvarchar(max),dbo,Classification,Name,ClassificationType,Code,Segment,nvarchar(50),CompanyClassification,
ScoringNumber,CompanySymbol,nvarchar(15),dbo,Company,Symbol,,,,,,
CustomerEsgScoreGrade,TotalGrade,nvarchar(1),dbo,Esg,TotalGrade,,,,,CompanyEsg,
CustomerEScoreGrade,EnvironmentalGrade,nvarchar(1),dbo,Esg,EnvironmentalGrade,,,,,CompanyEsg,
CustomerEPhysicalScoreGrade,ClimateChangeExposureGrade,nvarchar(1),dbo,EnvironmentalSustainability,ClimateChangeExposureGrade,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerETransitoryScoreGrade,LowCarbonTransitionExposureGrade,nvarchar(1),dbo,EnvironmentalSustainability,LowCarbonTransitionExposureGrade,SustainabilityReport,EnvironmentalSustainabilityId,,int,Statement,
CustomerSScoreGrade,SocialGrade,nvarchar(1),dbo,Esg,SocialGrade,,,,,CompanyEsg,
CustomerGScoreGrade,GovernanceGrade,nvarchar(1),dbo,Esg,GovernanceGrade,,,,,CompanyEsg,
ApprovedDate,ApprovedDate,datetime,dbo,Esg,EndDateTime,,,,,CompanyEsg,
ObjectId,ObjectId,nvarchar(100),dbo,Object,OwnProviderId,,,,,,
ObjectType,ObjectType,nvarchar(max),dbo,ObjectType,Name,Object,ObjectTypeId,,int,,
ObjectTypeOther,ObjectTypeOther,nvarchar(max),dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it
LocationName,LocationName,nvarchar(100),dbo,Object,Address,,,,,,
IsoAlpha3,IsoAlpha3,nvarchar(3),dbo,Country,IsoAlfa3Code,Object,LocationCountryId,,int,,
GeoLocation,GeoLocation,nvarchar(max),dbo,Coordinate,Latitude/Longitude,ObjectCoordinate,CoordinateId,,int,,
RiskEvaluationType,RiskEvaluationType,nvarchar(max),dbo,-,-,-,-,-,-,-,due to lack of data I cannot judge where to put it; Potentially could be ObjectRiskCategory instead of hardcoded value 'Physical'
TornadoRiskAfterRelevanceRounded,Tornado,decimal(28.20),dbo,ObjectRisk,Tornado,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
ExtratropicalCycloneRiskAfterRelevanceRounded,ExtratropicalStorm,decimal(28.20),dbo,ObjectRisk,ExtratropicalStorm,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
HailRiskAfterRelevanceRounded,Hail,decimal(28.20),dbo,ObjectRisk,Hail,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
LightningRiskAfterRelevanceRounded,Lightning,decimal(28.20),dbo,ObjectRisk,Lightning,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
ForestFireRiskAfterRelevanceRounded,Wildfire,decimal(28.20),dbo,ObjectRisk,Wildfire,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
FlashFloodRiskAfterRelevanceRounded,FlashFlood,decimal(28.20),dbo,ObjectRisk,FlashFlood,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
CoastalFloodRiskAfterRelevanceRounded,CoastalFlood,decimal(28.20),dbo,ObjectRisk,CoastalFlood,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
TropicalCyclonePrognosisYear,TropicalCycloneYear,int,dbo,ObjectRisk,TropicalCycloneYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
TropicalCycloneRiskAfterRelevanceRounded,TropicalCyclone,decimal(28.20),dbo,ObjectRisk,TropicalCyclone,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
DroughtPrognosisYear,DroughtStressYear,int,dbo,ObjectRisk,DroughtStressYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
DroughtRiskAfterRelevanceRounded,DroughtStress,decimal(28.20),dbo,ObjectRisk,DroughtStress,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
FirePrognosisYear,FireWeatherStressIndexYear,int,dbo,ObjectRisk,FireWeatherStressIndexYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
FireRiskAfterRelevanceRounded,FireWeatherStressIndex,decimal(28.20),dbo,ObjectRisk,FireWeatherStressIndex,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
HeatPrognosisYear,HeatStressYear,int,dbo,ObjectRisk,HeatStressYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
HeatRiskAfterRelevanceRounded,HeatStress,decimal(28.20),dbo,ObjectRisk,HeatStress,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
ColdPrognosisYear,ColdStressYear,int,dbo,ObjectRisk,ColdStressYear,ObjectRiskCategory,Code,Physical,nvarchar(50),Object,
